time,observed,predicted,fixed_day0_anchor,model,pooling_mode,density,mix,component
0.0,16.75,16.75,true,lv_asymmetric_competition,shared,20k,25-75,sensitive
1.0,12.806666666666667,34.6980865337143,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
2.0,36.586666666666666,108.99086717252547,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
3.0,105.55666666666667,320.9095507293144,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
4.0,270.2266666666667,738.3528293963425,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
5.0,849.8733333333333,1300.307999912273,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
6.0,860.2633333333333,1829.8179548444627,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
7.0,1553.246666666667,2195.6892981729347,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
8.0,1776.5566666666666,2384.8772082398946,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
9.0,1648.9166666666667,2446.7023713045337,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
10.0,2098.65,2448.649275228303,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
11.0,2367.1166666666663,2448.649275228303,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
12.0,2250.2233333333334,2448.649275228303,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
13.0,2750.683333333333,2448.649275228303,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
14.0,2685.1666666666665,2448.649275228303,false,lv_asymmetric_competition,shared,20k,25-75,sensitive
0.0,50.25,50.25,true,lv_asymmetric_competition,shared,20k,25-75,resistant
1.0,31.28333333333333,56.97227495496087,false,lv_asymmetric_competition,shared,20k,25-75,resistant
2.0,54.129999999999995,79.95479928619308,false,lv_asymmetric_competition,shared,20k,25-75,resistant
3.0,91.82,130.35750364632105,false,lv_asymmetric_competition,shared,20k,25-75,resistant
4.0,189.74333333333334,227.12059411443158,false,lv_asymmetric_competition,shared,20k,25-75,resistant
5.0,391.3,383.7740507193794,false,lv_asymmetric_competition,shared,20k,25-75,resistant
6.0,609.6966666666667,584.7035790608539,false,lv_asymmetric_competition,shared,20k,25-75,resistant
7.0,844.84,787.6808063480191,false,lv_asymmetric_competition,shared,20k,25-75,resistant
8.0,1041.4766666666667,959.8948411991017,false,lv_asymmetric_competition,shared,20k,25-75,resistant
9.0,1339.68,1096.3290376106243,false,lv_asymmetric_competition,shared,20k,25-75,resistant
10.0,1081.78,1206.7313921437412,false,lv_asymmetric_competition,shared,20k,25-75,resistant
11.0,1735.1733333333334,1293.5679501210539,false,lv_asymmetric_competition,shared,20k,25-75,resistant
12.0,986.3433333333332,1357.5918698889225,false,lv_asymmetric_competition,shared,20k,25-75,resistant
