Day,Mean_Area_um2,Std_Dev_um2,Sample_Count,Std_Error_um2,CI_95_Margin_um2,CI_95_Lower_um2,CI_95_Upper_um2
1,107.89394290123455,15.474457866676293,3,8.93418241488908,17.510997533182596,90.38294536805196,125.40494043441714
2,171.78105709876544,17.461039004817295,3,10.08113556976182,19.759025716733166,152.02203138203228,191.5400828154986
3,335.0898148148148,46.38160435924535,3,26.77843176225702,52.48572625402376,282.60408856079107,387.57554106883856
4,665.3856481481481,77.67461248221426,3,44.845458425806264,87.89709851458028,577.4885496335678,753.2827466627284
5,1268.2883487654321,123.62490682907652,3,71.37487323630972,139.89475154316705,1128.393597222265,1408.1831003085993
6,1730.9846064814817,75.83208939740021,3,43.781677226800774,85.81208736452952,1645.1725191169521,1816.7966938460113
7,2459.4097608024695,264.42202635261384,3,152.66412809434792,299.2216910649219,2160.1880697375477,2758.631451867391
8,2907.1998842592598,36.633445894899886,3,21.15032984876404,41.45464650357752,2865.7452377556824,2948.654530762837
9,2279.235262345679,266.8169330312179,3,154.046828109924,301.93178309545107,1977.303479250228,2581.16704544113
10,3590.9162037037036,111.0745132603393,3,64.12890013096356,125.69264425668857,3465.223559447015,3716.6088479603923
11,2735.723572530864,413.4050486478634,3,238.67951612119424,467.8118515975407,2267.9117209333235,3203.535424128405
12,4007.9396604938265,121.27804471491353,3,70.0199117629468,137.23902705537574,3870.700633438451,4145.178687549203
13,3261.8269675925926,237.7967465591858,3,137.29201563836313,269.09235065119174,2992.734616941401,3530.9193182437843
14,3753.9166280864197,165.0702132858399,3,95.30333207576862,186.79453086850648,3567.122097217913,3940.7111589549263
